% time	cellId	IMSI	RNTI	frame	sframe	scPrdStartFr	scPrdStartSf	resPscch	sizeTb	pscchRbLen	pscchStartRb	hopping	hoppingInfo	psschRbLen	psschStartRb	iTrp	mcs	l1GroupDstId	dropped
3680	0	3	3	369	5	369	1	172	6	1	21	0	255	10	31	0	16	255	0
3681	0	3	3	369	6	369	1	172	6	1	49	0	255	10	31	0	16	255	0
3683	0	2	2	369	8	369	1	139	6	1	45	0	255	10	36	0	16	255	0
3716	0	1	1	373	1	373	1	28	6	1	31	0	255	10	12	0	16	255	0
3719	0	2	2	373	4	373	1	115	6	1	14	0	255	10	25	0	16	255	0
3720	0	1	1	373	5	373	1	28	6	1	3	0	255	10	12	0	16	255	0
3720	0	2	2	373	5	373	1	115	6	1	42	0	255	10	25	0	16	255	0
3759	0	1	1	377	4	377	1	108	6	1	41	0	255	10	9	0	16	255	0
3759	0	2	2	377	4	377	1	38	6	1	32	0	255	10	14	0	16	255	0
3760	0	1	1	377	5	377	1	108	6	1	13	0	255	10	9	0	16	255	0
3762	0	2	2	377	7	377	1	38	6	1	4	0	255	10	14	0	16	255	0
3797	0	1	1	381	2	381	1	137	6	1	17	0	255	10	21	0	16	255	0
3800	0	2	2	381	5	381	1	20	6	1	2	0	255	10	4	0	16	255	0
3801	0	1	1	381	6	381	1	137	6	1	45	0	255	10	21	0	16	255	0
3803	0	2	2	381	8	381	1	20	6	1	30	0	255	10	4	0	16	255	0
3836	0	1	1	385	1	385	1	21	6	1	30	0	255	10	28	0	16	255	0
3837	0	2	2	385	2	385	1	25	6	1	3	0	255	10	12	0	16	255	0
3837	0	3	3	385	2	385	1	89	6	1	11	0	255	10	5	0	16	255	0
3841	0	1	1	385	6	385	1	21	6	1	2	0	255	10	28	0	16	255	0
3841	0	2	2	385	6	385	1	25	6	1	31	0	255	10	12	0	16	255	0
3842	0	3	3	385	7	385	1	89	6	1	39	0	255	10	5	0	16	255	0
3876	0	2	2	389	1	389	1	120	6	1	15	0	255	10	18	0	16	255	0
3876	0	3	3	389	1	389	1	126	6	1	43	0	255	10	24	0	16	255	0
3878	0	1	1	389	3	389	1	2	6	1	0	0	255	10	8	0	16	255	0
3878	0	2	2	389	3	389	1	120	6	1	43	0	255	10	18	0	16	255	0
3879	0	1	1	389	4	389	1	2	6	1	28	0	255	10	8	0	16	255	0
3882	0	3	3	389	7	389	1	126	6	1	15	0	255	10	24	0	16	255	0
3916	0	1	1	393	1	393	1	70	6	1	36	0	255	10	37	0	16	255	0
3918	0	2	2	393	3	393	1	79	6	1	37	0	255	10	31	0	16	255	0
3922	0	1	1	393	7	393	1	70	6	1	8	0	255	10	37	0	16	255	0
3923	0	2	2	393	8	393	1	79	6	1	9	0	255	10	31	0	16	255	0
3957	0	3	3	397	2	397	1	1	6	1	0	0	255	10	24	0	16	255	0
3958	0	3	3	397	3	397	1	1	6	1	28	0	255	10	24	0	16	255	0
3961	0	1	1	397	6	397	1	117	6	1	14	0	255	10	12	0	16	255	0
3961	0	2	2	397	6	397	1	13	6	1	1	0	255	10	8	0	16	255	0
3962	0	1	1	397	7	397	1	117	6	1	42	0	255	10	12	0	16	255	0
