% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
3256	0	4	3	0	16	389	1	0	1	5.52155
3256	0	5	1	0	16	389	1	0	0	0.16486
3256	0	5	2	0	16	389	1	0	0	0.364577
3256	0	5	3	0	16	389	1	0	0	1.71295
3264	0	4	1	0	16	389	2	0	0	0.364577
3264	0	4	2	0	16	389	2	0	0	0.531411
3264	0	4	3	0	16	389	2	0	1	5.52155
3264	0	5	1	0	16	389	2	0	0	0.16486
3264	0	5	2	0	16	389	2	0	0	0.364577
3264	0	5	3	0	16	389	2	0	1	1.71295
3272	0	4	1	0	16	389	3	0	0	0.364577
3272	0	4	2	0	16	389	3	0	0	0.531411
3272	0	4	3	0	16	389	3	0	1	5.52155
3272	0	5	1	0	16	389	3	0	0	0.16486
3272	0	5	2	0	16	389	3	0	0	0.364577
3272	0	5	3	0	16	389	3	0	1	1.71295
3288	0	4	1	0	16	389	0	1	0	0.339519
3288	0	4	2	0	16	389	0	1	0	0.531411
3288	0	4	3	0	16	389	0	1	0	5.45157
3288	0	5	1	0	16	389	0	1	0	0.158176
3288	0	5	2	0	16	389	0	1	0	0.364577
3288	0	5	3	0	16	389	0	1	0	1.7024
3296	0	4	1	0	16	389	1	0	0	0.339519
3296	0	4	2	0	16	389	1	0	0	0.531411
3296	0	4	3	0	16	389	1	0	0	5.45157
3296	0	5	1	0	16	389	1	0	0	0.158176
3296	0	5	2	0	16	389	1	0	0	0.364577
3296	0	5	3	0	16	389	1	0	0	1.7024
3304	0	4	1	0	16	389	2	0	0	0.339519
3304	0	4	2	0	16	389	2	0	0	0.531411
3304	0	4	3	0	16	389	2	0	0	5.45157
3304	0	5	1	0	16	389	2	0	0	0.158176
3304	0	5	2	0	16	389	2	0	0	0.364577
3304	0	5	3	0	16	389	2	0	0	1.7024
3312	0	4	1	0	16	389	3	0	0	0.339519
3312	0	4	2	0	16	389	3	0	0	0.531411
3312	0	4	3	0	16	389	3	0	0	5.45157
3312	0	5	1	0	16	389	3	0	0	0.158176
3312	0	5	2	0	16	389	3	0	0	0.364577
3312	0	5	3	0	16	389	3	0	0	1.7024
3328	0	4	1	0	16	389	0	1	0	0.264344
3328	0	4	2	0	16	389	0	1	0	0.531411
3328	0	4	3	0	16	389	0	1	0	5.24162
3328	0	5	1	0	16	389	0	1	0	0.138123
3328	0	5	2	0	16	389	0	1	0	0.364577
3328	0	5	3	0	16	389	0	1	0	1.67075
3336	0	4	1	0	16	389	1	0	0	0.264344
3336	0	4	2	0	16	389	1	0	0	0.531411
3336	0	4	3	0	16	389	1	0	0	5.24162
3336	0	5	1	0	16	389	1	0	0	0.138123
3336	0	5	2	0	16	389	1	0	0	0.364577
3336	0	5	3	0	16	389	1	0	0	1.67075
3344	0	4	1	0	16	389	2	0	0	0.264344
3344	0	4	2	0	16	389	2	0	0	0.531411
3344	0	4	3	0	16	389	2	0	0	5.24162
3344	0	5	1	0	16	389	2	0	0	0.138123
3344	0	5	2	0	16	389	2	0	0	0.364577
3344	0	5	3	0	16	389	2	0	0	1.67075
3352	0	4	1	0	16	389	3	0	0	0.264344
3352	0	4	2	0	16	389	3	0	0	0.531411
3352	0	4	3	0	16	389	3	0	0	5.24162
3352	0	5	1	0	16	389	3	0	0	0.138123
3352	0	5	2	0	16	389	3	0	0	0.364577
3352	0	5	3	0	16	389	3	0	0	1.67075
3368	0	5	1	0	16	389	0	1	0	0.0855417
3368	0	5	2	0	16	389	0	1	0	0.364577
